crop_type,soil_type,weather_condition,pest_pressure,disease_name,water_stress_level,irrigation_needed,ndvi,soil_moisture_percent,temperature_celsius,humidity_percent,rainfall_mm,ph_level,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,soil_fertility_index,crop_yield,latitude,longitude,nitrogen_recommendation
Mango,Loamy,Hot & Dry,High,Powdery Mildew,Low,No,0.316,27.2,32.8,48.7,104.1,6.07,21.4,31.6,32.1,50.4,3.2,16.4176,84.1682,1.8
Chickpea,Sandy,Normal,Low,None,Moderate,Yes,0.512,32.1,21.6,19.9,90.4,8.31,55.7,75.8,84.0,54.0,4.69,26.163,73.4494,4.6
Orange,Loamy,Normal,High,Citrus Canker,Low,No,0.246,33.8,21.8,94.5,113.3,6.74,3.2,18.9,8.9,45.9,2.62,22.4451,77.261,16.8
Lentil,Clayey,Normal,Low,None,High,Yes,0.299,26.6,21.3,65.3,36.2,5.54,4.2,70.7,15.7,43.4,2.42,12.8868,71.4055,16.4
Coconut,Loamy,Rainy,High,Root Wilt,Low,No,0.419,52.1,28.6,99.0,203.2,6.33,0.7,27.9,25.8,56.0,3.45,35.2321,75.7304,15.2
Muskmelon,Clayey,Normal,High,None,High,Yes,0.524,16.6,25.4,93.7,29.2,6.37,108.4,28.8,48.2,67.3,3.15,26.0101,80.8507,1.4
Maize,Clayey,Normal,Low,None,Moderate,Yes,0.481,30.3,21.5,64.2,65.9,6.99,97.2,50.7,20.9,66.6,5.74,32.4417,78.9003,1.0
Coconut,Clayey,Rainy,High,Root Wilt,Low,No,0.459,53.0,26.9,98.9,168.3,5.64,18.8,20.9,32.8,45.6,2.62,21.1374,68.7776,4.8
Jute,Sandy,Rainy,High,Stem Rot,Low,No,0.581,57.1,29.2,85.8,186.7,7.39,77.0,54.6,38.6,58.0,3.32,20.5769,74.2043,5.1
Jute,Clayey,Rainy,High,Stem Rot,Low,No,0.635,58.0,20.3,86.3,159.6,6.79,80.3,36.0,39.6,62.7,3.59,16.1933,70.7067,2.7
Mothbeans,Loamy,Normal,High,None,Moderate,Yes,0.397,21.8,26.7,32.1,66.9,5.1,17.4,49.1,19.0,44.1,2.81,10.3594,81.3374,6.3
Mungbean,Clayey,Normal,High,None,High,Yes,0.325,19.4,28.0,88.0,49.6,7.02,5.4,41.2,15.0,54.1,2.62,25.0643,91.6879,12.0
Apple,Loamy,Normal,High,Apple Scab,Low,No,0.366,37.2,22.6,91.1,100.8,6.31,15.9,138.9,195.6,86.8,4.73,26.8276,78.0281,3.2
Pomegranate,Loamy,Normal,High,Bacterial Blight,Low,No,0.42,39.6,20.2,93.5,108.2,5.5,11.7,7.0,43.3,42.5,2.68,12.5923,85.6798,9.0
Coconut,Silty,Rainy,High,Root Wilt,Low,No,0.415,63.0,29.2,99.7,222.1,6.36,15.1,11.4,29.2,51.4,2.58,25.5988,72.7546,6.6
Maize,Silty,Cool,Low,Maize Rust,Moderate,Yes,0.376,39.7,19.2,72.5,82.4,6.1,63.3,52.8,16.4,56.6,2.87,30.795,88.7586,15.3
Cotton,Loamy,Normal,High,Bacterial Blight,Moderate,Yes,0.697,28.8,20.4,80.2,97.3,6.72,106.3,57.3,19.8,65.6,2.96,17.0822,73.5333,11.1
Kidneybeans,Sandy,Cool,Low,None,Low,No,0.505,39.6,18.0,24.4,123.6,5.98,34.7,70.8,19.7,61.6,5.93,36.5963,95.7917,4.0
Banana,Clayey,Normal,High,Panama Wilt,Low,No,0.561,25.3,28.8,82.5,109.7,5.59,94.6,71.9,52.9,61.3,3.71,22.7602,77.6504,2.7
Pomegranate,Loamy,Normal,High,Bacterial Blight,Low,No,0.321,33.4,20.2,91.5,108.5,5.6,10.5,13.1,44.0,43.1,2.61,32.4811,86.1343,10.4
Apple,Loamy,Normal,High,Apple Scab,Low,No,0.436,38.8,21.3,91.5,106.9,5.84,20.3,122.5,203.5,83.2,4.35,34.6039,84.5515,2.7
Mungbean,Silty,Normal,High,None,Moderate,Yes,0.388,23.3,28.6,80.4,58.5,7.33,38.5,53.4,15.8,49.2,3.57,12.1987,81.2171,0.0
Pomegranate,Silty,Normal,High,None,Low,No,0.425,46.6,21.0,94.5,104.2,6.86,24.7,19.6,43.7,53.6,4.47,10.8423,91.2243,2.5
Mango,Clayey,Hot & Dry,Medium,Powdery Mildew,Low,No,0.341,37.3,33.6,47.4,103.8,6.19,1.9,30.1,34.9,57.0,3.86,33.2644,80.4264,15.9
Kidneybeans,Loamy,Cool,Low,None,Moderate,Yes,0.285,35.1,16.7,17.9,69.7,6.07,4.4,72.4,24.1,59.3,5.14,29.9864,71.2676,11.9
Jute,Loamy,Rainy,Low,Anthracnose,Low,No,0.642,47.9,24.9,71.8,156.1,6.68,84.9,41.7,36.2,67.8,4.93,34.5535,72.3308,0.0
Banana,Clayey,Normal,High,Panama Wilt,Low,No,0.638,35.3,26.0,84.1,103.0,5.75,102.6,76.2,47.1,67.1,3.74,32.0404,68.6373,0.0
Rice,Clayey,Rainy,High,Rice Blast,Low,No,0.709,67.6,33.3,80.5,232.6,7.08,94.5,37.6,42.9,60.3,3.51,31.5701,70.8059,0.0
Pigeonpeas,Clayey,Rainy,Low,Fusarium Wilt,Low,No,0.542,56.6,36.8,41.4,195.7,7.1,23.9,55.1,20.2,53.2,3.56,34.2802,95.7821,0.0
Watermelon,Silty,Normal,High,Anthracnose,High,Yes,0.419,18.3,22.1,85.1,46.8,6.08,88.0,29.6,50.6,61.4,1.7,8.2154,75.4868,9.6
Chickpea,Sandy,Cool,Low,None,Moderate,Yes,0.3,38.4,16.2,13.4,85.0,7.26,37.7,62.8,77.7,58.3,4.56,11.7178,76.6683,1.7
Papaya,Sandy,Normal,High,None,High,Yes,0.423,18.5,32.8,92.9,41.1,6.66,60.2,41.9,48.7,66.1,2.92,30.7413,89.5728,2.7
Rice,Silty,Rainy,High,Rice Blast,Low,No,0.609,43.7,34.3,80.5,176.0,6.07,114.7,45.6,38.5,72.1,4.43,23.8904,81.8018,0.0
Lentil,Clayey,Normal,High,None,Moderate,Yes,0.269,21.0,20.1,65.2,54.6,7.01,23.4,58.2,16.2,54.1,3.95,32.8047,82.7527,0.0
Apple,Sandy,Normal,High,Apple Scab,Low,No,0.314,32.8,22.6,90.9,114.5,6.5,25.7,141.3,200.9,92.1,4.46,15.5175,84.3822,0.0
Mothbeans,Silty,Normal,High,None,High,Yes,0.193,17.1,30.8,53.2,33.9,4.59,19.6,54.5,16.3,30.7,1.57,32.4742,92.2882,2.3
Coconut,Clayey,Rainy,High,Root Wilt,Low,No,0.391,45.2,28.9,96.9,153.8,6.24,33.1,27.5,27.5,52.6,3.09,32.8147,81.5657,2.5
Rice,Sandy,Rainy,High,Rice Blast,Low,No,0.572,68.3,22.1,81.7,231.3,7.24,74.0,54.3,36.0,60.0,3.6,23.6993,71.3949,13.3
Mothbeans,Sandy,Normal,Low,None,Moderate,Yes,0.316,30.8,27.1,31.8,56.3,9.76,5.6,56.5,19.2,11.4,1.65,18.8251,84.8985,9.9
Grapes,Sandy,Cool,High,Anthracnose,Moderate,Yes,0.338,21.6,15.9,80.6,71.7,5.84,11.8,143.0,202.2,81.3,3.69,23.113,73.9091,9.9
Pigeonpeas,Clayey,Normal,High,None,Moderate,Yes,0.373,40.0,29.9,56.4,98.2,6.39,39.4,78.3,21.9,67.4,4.57,34.0227,87.5216,4.5
Cotton,Loamy,Normal,High,Bacterial Blight,Moderate,Yes,0.569,30.4,23.9,78.0,86.2,6.84,130.4,43.1,19.8,65.1,3.21,9.3655,78.6286,0.0
Blackgram,Silty,Normal,High,Powdery Mildew,Moderate,Yes,0.485,14.4,34.3,61.8,74.4,6.77,56.1,70.6,16.1,62.3,3.23,36.5193,86.8228,2.7
Papaya,Sandy,Normal,High,None,Moderate,Yes,0.483,23.3,28.2,94.3,63.6,7.0,48.7,44.4,45.6,60.2,4.12,11.3256,72.2905,4.0
Banana,Sandy,Normal,High,Panama Wilt,Low,No,0.567,27.1,26.2,81.5,106.5,5.92,106.9,78.4,49.8,74.0,4.44,28.2984,84.4378,0.0
Kidneybeans,Sandy,Normal,Low,None,Moderate,Yes,0.352,36.8,20.6,16.8,81.2,6.34,33.0,55.1,19.1,65.7,5.45,27.0337,71.4948,2.1
Orange,Clayey,Normal,High,Citrus Canker,Low,No,0.372,35.1,34.8,93.0,117.5,6.52,26.2,13.3,8.3,58.6,3.55,23.4813,85.2399,0.0
Pomegranate,Clayey,Normal,High,Bacterial Blight,Low,No,0.359,37.8,24.1,85.3,108.8,5.51,24.7,6.2,35.5,45.2,3.02,13.5293,79.5295,2.1
Mothbeans,Loamy,Normal,High,None,Moderate,Yes,0.195,19.0,31.3,58.0,50.1,8.1,15.6,44.6,15.2,37.3,2.31,22.9609,69.7453,4.7
Maize,Clayey,Cool,High,Maize Rust,Moderate,Yes,0.593,25.0,19.2,71.1,90.3,6.99,83.0,46.0,18.8,60.3,2.87,18.2621,78.3637,1.7
Cotton,Loamy,Normal,Low,Bacterial Blight,Moderate,Yes,0.59,21.8,23.7,78.9,70.2,6.93,107.5,48.1,23.7,70.4,3.97,23.9009,89.2303,8.0
Jute,Clayey,Rainy,High,Stem Rot,Low,No,0.551,53.3,23.8,90.0,161.9,6.94,96.9,50.8,40.6,62.6,3.83,11.4994,89.4189,0.0
Mothbeans,Sandy,Normal,Low,None,Moderate,Yes,0.23,22.3,24.7,59.6,59.3,8.93,13.1,57.9,20.4,26.0,2.14,22.5831,75.7165,4.4
Grapes,Sandy,Cool,Medium,Anthracnose,Moderate,Yes,0.416,35.6,8.6,81.3,66.4,6.16,18.7,139.6,203.0,94.1,4.45,16.6495,78.1518,1.1
Muskmelon,Sandy,Normal,High,None,High,Yes,0.426,20.7,28.0,90.3,29.0,6.29,102.7,29.5,48.5,74.4,3.15,8.6226,76.8021,2.5
Pomegranate,Clayey,Normal,High,Bacterial Blight,Low,No,0.413,42.3,24.5,86.4,105.2,5.66,34.2,15.6,41.5,49.0,3.08,27.5163,81.2671,0.8
Grapes,Silty,Normal,High,None,Moderate,Yes,0.391,29.0,28.6,80.9,67.4,6.47,19.4,137.5,203.5,94.4,5.54,30.7243,69.9053,5.4
Lentil,Loamy,Normal,High,None,High,Yes,0.315,25.3,24.6,64.4,48.5,6.15,14.8,56.5,19.7,51.9,1.89,11.4731,90.5164,5.1
Mungbean,Sandy,Normal,High,None,Moderate,Yes,0.449,15.7,27.5,84.2,59.9,6.13,34.3,50.2,17.3,56.6,4.04,11.688,96.1261,0.0
Banana,Clayey,Normal,High,Panama Wilt,Low,No,0.711,42.6,27.3,83.5,110.1,5.51,106.2,76.5,46.4,60.7,3.21,26.2049,69.6662,0.0
Coffee,Sandy,Rainy,Low,None,Low,No,0.553,62.9,27.2,59.4,180.3,6.46,88.9,21.9,35.0,72.6,7.57,17.8635,76.5555,10.4
Banana,Clayey,Normal,High,Panama Wilt,Low,No,0.692,30.3,28.7,83.8,110.6,5.84,114.0,74.4,53.4,75.1,4.36,11.212,72.3533,2.9
Coconut,Loamy,Rainy,High,Root Wilt,Low,No,0.479,49.9,28.8,93.8,188.1,5.69,16.6,14.1,30.2,42.4,2.52,30.6624,69.344,0.7
Orange,Clayey,Normal,High,Citrus Canker,Low,No,0.421,40.4,30.6,94.4,109.8,6.5,6.2,29.8,13.3,52.0,2.7,23.8382,95.9171,13.9
Pomegranate,Silty,Normal,High,Bacterial Blight,Low,No,0.358,41.7,23.0,90.9,114.9,5.96,0.6,21.3,39.7,53.8,3.18,28.629,72.3657,14.9
Muskmelon,Silty,Normal,High,None,High,Yes,0.547,10.0,25.7,91.1,26.9,6.49,113.3,7.6,46.2,72.0,3.36,31.4954,88.9124,0.0
Rice,Clayey,Rainy,High,Rice Blast,Low,No,0.642,48.1,23.6,81.2,163.7,7.4,62.8,38.3,37.9,59.4,3.79,18.3122,70.4497,23.9
Cotton,Clayey,Normal,High,Bacterial Blight,Moderate,Yes,0.61,39.3,20.3,78.2,84.5,7.42,118.1,53.6,24.2,64.8,3.25,20.44,75.4433,0.0
Kidneybeans,Sandy,Normal,Medium,Anthracnose,Moderate,Yes,0.255,32.7,23.3,23.6,63.6,5.75,29.1,57.3,24.2,48.4,2.56,34.782,77.0289,0.4
Grapes,Silty,Cool,High,Anthracnose,Moderate,Yes,0.316,33.1,19.1,80.1,71.0,6.05,35.9,133.4,199.0,86.4,3.47,24.6372,73.2972,2.2
Mothbeans,Silty,Normal,Medium,None,Moderate,Yes,0.391,21.8,28.2,51.8,52.1,9.54,13.6,40.4,18.1,17.9,1.94,17.1192,74.1868,5.6
Cotton,Sandy,Normal,High,Bacterial Blight,Moderate,Yes,0.64,35.6,22.1,82.6,86.2,5.83,138.2,48.9,16.0,63.4,3.32,33.1456,95.5249,0.8
Orange,Sandy,Normal,High,Citrus Canker,Low,No,0.377,34.5,33.7,92.8,104.3,6.22,10.6,25.2,10.4,53.1,3.32,31.0995,83.5402,9.2
Coffee,Loamy,Normal,Medium,None,Low,No,0.531,41.4,23.1,69.4,133.6,6.12,95.8,30.5,33.7,61.0,6.37,21.9098,74.3631,6.9
Chickpea,Sandy,Normal,Low,None,Moderate,Yes,0.308,39.0,21.0,12.8,93.3,6.69,30.8,77.6,76.3,68.9,5.97,34.6954,93.9933,10.4
Kidneybeans,Silty,Cool,Low,Bean Rust,Low,No,0.446,35.0,15.1,19.1,117.5,5.97,33.4,66.0,23.4,59.0,4.32,14.2019,79.6097,0.8
Maize,Clayey,Normal,High,None,Moderate,Yes,0.608,37.5,20.5,57.3,98.0,6.4,88.6,43.6,24.5,65.0,4.31,10.4318,92.3762,0.0
Banana,Loamy,Normal,High,Panama Wilt,Low,No,0.509,25.5,27.7,84.4,100.9,5.84,80.5,75.9,50.0,62.3,3.56,22.5646,79.4631,20.4
Watermelon,Loamy,Normal,High,None,Moderate,Yes,0.44,16.2,27.5,89.3,57.5,6.67,86.4,16.7,54.4,67.3,4.29,33.1864,96.6044,9.4
Lentil,Loamy,Cool,Low,None,High,Yes,0.316,17.7,18.4,63.0,39.2,6.27,23.7,66.3,17.0,57.9,2.71,10.1285,85.895,2.8
Orange,Clayey,Cool,Low,Citrus Canker,Low,No,0.402,32.1,15.1,90.6,107.2,6.08,25.9,17.6,10.6,51.5,3.87,26.958,73.3747,3.0
Mothbeans,Silty,Hot & Dry,High,None,Moderate,Yes,0.248,25.8,30.5,47.1,56.6,9.45,28.7,58.1,23.8,24.8,1.73,24.0282,78.9663,0.9
Pomegranate,Clayey,Normal,High,Bacterial Blight,Low,No,0.348,32.3,22.2,94.9,103.3,6.22,2.4,28.3,41.7,56.6,3.35,25.1455,89.191,13.1
Mungbean,Silty,Normal,High,None,High,Yes,0.327,14.7,27.5,82.2,40.0,7.03,14.6,57.9,15.5,54.3,2.38,34.5557,76.6548,2.5
Jute,Sandy,Rainy,Medium,Stem Rot,Low,No,0.639,58.0,20.7,84.5,166.5,7.36,63.5,47.9,36.8,53.0,3.59,10.9239,91.5036,17.8
Jute,Loamy,Rainy,High,Stem Rot,Low,No,0.697,52.3,23.2,86.5,157.7,6.48,96.3,54.5,40.5,76.5,4.64,29.0908,69.5597,0.0
Papaya,Silty,Rainy,High,Papaya Ring Spot Virus,Low,No,0.584,58.5,39.3,92.9,213.5,6.9,50.1,54.5,50.8,65.9,3.81,10.8408,79.5976,2.7
Mothbeans,Loamy,Normal,Medium,None,Moderate,Yes,0.309,33.2,25.6,42.6,63.6,7.79,21.2,42.1,18.1,45.4,4.08,14.7731,80.9099,1.2
Mothbeans,Sandy,Normal,Low,None,Moderate,Yes,0.394,16.8,24.2,65.0,66.9,7.78,19.9,41.5,16.4,42.9,3.49,25.7992,74.577,4.5
Apple,Sandy,Normal,High,Apple Scab,Low,No,0.462,31.1,24.7,92.5,123.5,6.09,29.4,132.8,195.8,87.4,4.42,29.9564,83.1587,2.4
Pomegranate,Sandy,Cool,High,Bacterial Blight,Low,No,0.329,40.1,19.8,91.8,113.6,6.79,4.2,12.7,44.7,54.3,3.5,25.6864,92.0726,11.6
Kidneybeans,Silty,Normal,Low,None,Low,No,0.449,34.3,20.8,21.3,107.1,5.9,37.4,60.0,21.3,56.0,5.31,26.0695,96.3546,2.1
Apple,Silty,Normal,High,Apple Scab,Low,No,0.484,35.7,24.5,93.3,104.6,6.31,31.0,134.9,198.0,89.2,4.55,10.9715,77.7477,3.5
Lentil,Loamy,Normal,Low,None,High,Yes,0.274,17.3,23.3,63.4,48.7,6.34,36.7,73.4,22.6,63.3,3.51,18.7026,91.515,4.9
Pigeonpeas,Clayey,Normal,Medium,None,Low,No,0.388,33.9,29.5,42.0,124.6,6.14,12.4,77.6,16.2,60.6,5.86,10.3747,72.8004,10.5
Papaya,Silty,Normal,High,None,Moderate,Yes,0.315,10.0,32.7,93.9,51.2,6.63,50.9,52.3,52.8,70.7,4.78,10.7041,77.0861,1.3
Watermelon,Clayey,Normal,High,None,High,Yes,0.397,12.4,28.9,81.9,43.7,6.5,83.9,19.7,53.1,72.6,2.99,8.2537,96.086,16.2
Maize,Silty,Normal,Low,None,Moderate,Yes,0.466,29.6,22.4,60.4,94.7,5.79,83.4,46.5,21.4,60.5,4.85,33.4602,86.2494,3.8
Coffee,Clayey,Rainy,High,None,Low,No,0.649,48.4,21.3,67.2,172.9,6.73,91.7,25.1,31.1,68.1,5.89,26.7906,96.3142,8.2
Watermelon,Clayey,Normal,High,Anthracnose,Moderate,Yes,0.677,29.7,23.0,87.3,51.6,6.35,117.7,11.0,53.3,66.1,2.68,13.8328,82.8943,5.0
Grapes,Silty,Cool,High,Anthracnose,Moderate,Yes,0.344,27.6,12.4,81.5,74.2,5.5,28.0,134.9,195.5,82.5,3.86,16.0018,94.0074,0.0
Coffee,Loamy,Normal,Medium,Root Rot,Low,No,0.75,50.0,20.6,55.7,141.2,6.49,115.3,35.2,29.6,69.0,5.15,33.0593,75.2247,1.6
Rice,Silty,Rainy,High,Rice Blast,Low,No,0.827,74.8,23.4,82.4,245.7,5.02,117.5,35.4,41.8,54.5,2.91,25.679,72.3278,4.7
Kidneybeans,Clayey,Cool,Low,None,Low,No,0.266,50.7,15.2,22.9,108.3,5.82,5.1,68.7,19.0,48.6,4.68,16.8441,72.0074,10.4
Grapes,Clayey,Normal,High,Powdery Mildew,Moderate,Yes,0.397,15.3,37.9,83.3,70.4,5.75,34.0,132.9,200.6,89.7,3.83,13.5551,73.1172,4.6
Pomegranate,Loamy,Normal,High,Bacterial Blight,Low,No,0.275,37.8,22.2,90.7,107.6,5.62,17.0,26.4,39.0,44.7,2.56,29.8295,77.2222,7.0
Mothbeans,Silty,Hot & Dry,Medium,None,Moderate,Yes,0.304,25.9,30.6,40.3,51.5,4.35,3.2,41.5,21.6,32.5,2.43,13.0781,77.9538,16.2
Muskmelon,Clayey,Normal,High,None,High,Yes,0.569,18.0,29.3,91.8,22.1,6.03,88.0,10.5,47.5,64.9,3.02,36.8608,69.5142,12.2
Jute,Silty,Rainy,Medium,Anthracnose,Low,No,0.641,53.9,24.5,74.9,183.2,6.65,91.3,41.2,41.4,69.6,5.16,34.4395,77.1982,3.9
Blackgram,Sandy,Normal,High,None,Moderate,Yes,0.353,30.3,30.0,69.7,62.8,7.47,29.3,79.9,20.0,54.8,3.56,29.2108,87.6923,9.8
Kidneybeans,Loamy,Normal,Low,None,Low,No,0.442,48.3,23.9,16.2,141.1,6.24,38.1,59.2,24.4,58.1,5.79,12.637,87.0536,3.3
Banana,Loamy,Normal,High,None,Low,No,0.627,39.7,29.5,79.5,104.3,5.55,97.1,91.8,52.2,61.8,4.91,28.1126,81.1855,6.5
Apple,Loamy,Normal,High,Apple Scab,Low,No,0.404,45.9,22.3,91.5,117.3,5.8,9.9,122.8,203.9,82.7,4.28,19.5584,86.2087,9.7
Orange,Clayey,Cool,Low,Citrus Canker,Low,No,0.346,29.3,17.2,93.8,104.4,7.27,2.1,5.5,6.7,44.9,3.56,21.9147,96.2344,17.8
Banana,Sandy,Normal,High,None,Moderate,Yes,0.704,40.5,28.1,76.9,96.9,6.28,111.6,70.5,53.1,73.1,5.04,15.2293,89.334,0.0
Coconut,Silty,Rainy,High,Root Wilt,Low,No,0.511,58.3,26.4,99.0,222.6,6.13,14.8,22.4,32.9,54.6,3.44,24.4167,74.62,7.0
Jute,Silty,Rainy,Low,Stem Rot,Low,No,0.66,56.2,20.4,81.8,161.8,7.36,83.3,56.9,39.8,63.6,4.23,9.1308,73.1771,0.0
Watermelon,Silty,Normal,High,Anthracnose,Moderate,Yes,0.596,28.9,29.1,87.7,57.0,6.54,113.2,19.0,54.1,75.2,3.37,25.7575,83.5961,0.8
Lentil,Sandy,Normal,Medium,None,High,Yes,0.205,24.0,24.5,60.8,40.3,5.71,10.9,61.9,15.6,46.5,2.62,36.7648,89.6599,9.0
Pigeonpeas,Sandy,Rainy,Low,None,Low,No,0.516,55.6,18.4,36.5,192.0,6.7,13.5,62.5,23.5,61.6,6.13,35.6283,82.1274,9.9
Coffee,Silty,Normal,Medium,None,Low,No,0.663,48.1,22.7,55.7,144.5,7.09,85.9,16.7,26.2,56.8,5.73,21.4886,81.5186,13.9
Orange,Loamy,Normal,High,Citrus Canker,Low,No,0.422,35.6,27.6,91.5,114.6,6.59,28.0,15.2,8.5,59.1,3.44,15.5273,86.7553,4.7
Jute,Clayey,Rainy,High,Stem Rot,Low,No,0.633,62.0,22.9,89.5,180.7,7.18,83.8,47.2,39.3,61.3,3.4,29.9279,85.314,4.4
Papaya,Clayey,Normal,High,Anthracnose,Moderate,Yes,0.555,42.0,23.5,94.2,89.7,6.74,66.4,37.1,45.1,65.4,3.01,15.2541,85.0182,1.4
Maize,Sandy,Normal,Medium,None,Moderate,Yes,0.416,30.4,26.8,56.8,91.2,5.8,68.3,39.6,18.2,59.5,5.01,29.0677,76.2242,9.3
Apple,Loamy,Normal,High,Apple Scab,Low,No,0.491,44.8,23.5,94.2,119.9,5.79,37.9,131.1,204.1,86.1,4.51,19.3661,79.2371,2.0
Coconut,Loamy,Rainy,High,Root Wilt,Low,No,0.479,49.0,28.9,91.2,187.9,5.97,29.8,8.1,25.1,49.9,3.27,25.5471,94.0348,4.7
Rice,Silty,Rainy,High,Rice Blast,Low,No,0.697,75.3,31.3,83.0,297.4,5.44,92.7,47.9,42.7,54.4,3.48,28.7253,84.106,0.6
Apple,Sandy,Normal,High,Apple Scab,Low,No,0.349,35.0,20.9,93.5,118.4,6.26,3.0,124.3,204.0,87.1,4.72,31.1288,73.3243,18.0
Lentil,Clayey,Normal,High,None,High,Yes,0.181,20.9,22.3,67.0,40.3,5.62,1.1,77.4,23.7,45.8,1.63,16.4573,94.5137,15.9
Watermelon,Silty,Normal,Medium,Anthracnose,High,Yes,0.57,11.5,22.1,81.9,43.4,6.1,97.2,25.0,49.7,66.8,2.43,33.7095,87.7844,6.8
Lentil,Sandy,Normal,Low,None,High,Yes,0.408,11.3,26.6,67.4,47.3,6.49,21.2,62.6,21.5,60.9,2.75,28.9303,75.8827,2.4
Watermelon,Clayey,Normal,High,None,High,Yes,0.475,22.0,29.1,82.6,48.1,6.37,94.0,24.7,48.4,70.4,3.27,10.8777,92.2342,5.3
Mothbeans,Loamy,Normal,Low,None,Moderate,Yes,0.327,28.8,28.9,36.6,70.0,9.11,22.0,52.7,24.7,27.1,2.14,15.2064,88.8183,0.0
Mothbeans,Loamy,Normal,Medium,None,Moderate,Yes,0.33,17.6,27.0,65.2,55.7,7.9,35.4,39.6,19.7,36.9,3.09,17.5784,90.6667,1.3
Muskmelon,Silty,Normal,High,None,High,Yes,0.549,10.9,27.4,91.0,24.4,6.01,85.9,20.5,49.4,62.8,2.82,26.0241,76.6691,13.5
Coconut,Silty,Rainy,High,Root Wilt,Low,No,0.494,54.8,27.3,91.4,198.8,6.12,33.4,29.0,29.6,51.2,3.1,18.3192,75.2743,2.8
Mothbeans,Sandy,Normal,High,None,Moderate,Yes,0.288,19.5,27.1,30.8,63.6,8.89,23.8,57.8,21.1,33.6,1.95,14.4937,77.5125,0.8
Pigeonpeas,Silty,Hot & Dry,High,Fusarium Wilt,Low,No,0.426,34.1,37.9,33.3,123.0,5.96,5.4,69.8,24.8,53.9,3.15,9.3394,83.6277,12.4
Maize,Loamy,Normal,Low,None,Moderate,Yes,0.531,23.5,21.2,61.7,84.3,6.55,79.0,51.5,22.9,65.1,5.57,17.4715,73.8285,3.3
Lentil,Sandy,Normal,Low,None,High,Yes,0.319,18.3,27.2,64.2,45.7,5.6,17.9,69.8,19.0,55.4,2.94,27.3332,96.8343,6.2
Chickpea,Sandy,Normal,Low,None,Moderate,Yes,0.437,29.7,24.4,13.3,81.5,5.81,37.0,65.5,81.3,62.6,5.34,10.4214,86.573,7.3
Banana,Clayey,Normal,High,None,Low,No,0.595,30.2,29.6,79.6,105.6,5.9,91.7,81.5,54.0,68.2,5.45,20.0115,89.8309,9.6
Mothbeans,Sandy,Hot & Dry,Medium,None,High,Yes,0.277,16.3,31.8,32.8,49.2,8.86,34.1,52.7,18.1,33.6,1.7,29.936,84.3702,0.0
Maize,Sandy,Normal,High,None,Moderate,Yes,0.486,18.9,25.1,55.5,72.7,6.34,92.9,38.1,24.9,69.4,4.17,36.2881,79.6531,0.2
Mungbean,Clayey,Normal,High,None,High,Yes,0.399,10.7,29.1,85.4,40.0,6.77,34.5,41.0,18.3,53.7,2.53,22.8253,95.0004,2.8
Orange,Loamy,Cool,Low,Citrus Canker,Low,No,0.342,43.9,10.2,94.7,108.7,6.59,32.0,29.0,6.7,56.7,3.68,32.4832,95.0506,0.0
Rice,Loamy,Rainy,High,Rice Blast,Low,No,0.635,64.4,28.2,80.5,226.2,6.4,72.3,39.2,39.2,65.0,3.46,22.3313,82.1016,15.0
Rice,Clayey,Rainy,High,Rice Blast,Low,No,0.486,51.6,38.7,80.8,162.8,5.16,68.9,53.3,42.6,47.6,2.63,24.9792,93.8613,21.7
Chickpea,Loamy,Normal,Low,Fusarium Wilt,Moderate,Yes,0.486,21.8,20.9,11.2,69.1,6.0,58.4,66.6,79.0,68.7,4.25,9.2887,80.7173,3.3
Pomegranate,Clayey,Normal,High,Bacterial Blight,Low,No,0.386,24.9,24.9,94.1,101.8,5.9,12.3,5.5,37.2,48.8,3.2,14.4563,92.847,10.1
Blackgram,Sandy,Normal,High,Powdery Mildew,Moderate,Yes,0.454,17.1,33.4,62.9,72.6,7.14,30.9,67.5,16.7,53.8,2.56,29.3654,88.1471,9.0
Coconut,Sandy,Rainy,High,Root Wilt,Low,No,0.411,65.1,28.6,96.7,220.6,6.38,22.4,28.0,26.9,53.2,3.36,36.5712,74.248,0.5
Mango,Sandy,Normal,Low,None,Low,No,0.329,37.7,25.7,51.0,101.2,6.51,26.2,39.6,25.7,63.5,6.76,17.7696,78.5945,4.6
Chickpea,Loamy,Normal,Low,None,Moderate,Yes,0.387,24.5,26.0,10.6,83.7,7.87,50.9,64.7,77.7,56.3,4.82,10.0392,71.9679,2.5
Mungbean,Loamy,Normal,High,Cercospora Leaf Spot,High,Yes,0.373,26.9,28.4,82.5,45.7,7.12,20.2,51.7,15.0,47.7,1.47,25.6538,78.2565,0.0
Maize,Clayey,Normal,High,None,Moderate,Yes,0.554,29.4,20.1,68.6,81.7,6.0,81.1,48.8,18.1,57.7,3.99,17.3448,75.722,3.6
Muskmelon,Loamy,Normal,High,None,High,Yes,0.534,15.1,27.5,93.0,22.2,6.07,83.5,13.7,53.6,65.3,2.98,15.2844,82.9742,14.6
Blackgram,Loamy,Normal,High,Powdery Mildew,Moderate,Yes,0.38,29.9,32.8,67.3,69.5,7.45,33.4,68.1,22.8,55.9,2.71,9.5771,81.4747,3.5
